datetime,sessionTime,RRi
250320201439.234,216.240,555.664
250320201439.234,216.240,556.641
250320201440.201,217.200,555.664
250320201440.201,217.200,545.898
250320201441.173,218.180,549.805
250320201441.173,218.180,556.641
250320201442.287,219.280,558.594
250320201443.284,220.280,568.359
250320201443.284,220.280,573.242
250320201444.264,221.260,582.031
250320201444.264,221.260,582.031
250320201445.234,222.240,589.844
250320201445.234,222.240,575.195
250320201446.214,223.220,571.289
250320201447.184,224.180,576.172
250320201447.184,224.180,580.078
250320201448.298,225.300,576.172
250320201448.299,225.300,583.984
250320201449.256,226.260,584.961
250320201450.244,227.240,586.914
250320201450.244,227.240,578.125
250320201451.216,228.220,571.289
250320201451.216,228.220,570.313
250320201452.188,229.180,572.266
250320201452.188,229.180,580.078
250320201453.166,230.160,567.383
250320201455.059,231.280,571.289
250320201455.059,231.280,572.266
250320201455.236,231.760,576.172
250320201455.236,231.760,579.102
250320201456.208,232.720,576.172
250320201456.208,232.720,579.102
250320201457.198,233.720,575.195
250320201458.293,234.820,580.078
250320201458.293,234.820,593.750
250320201459.283,235.800,583.008
250320201459.283,235.800,583.008
250320201500.253,236.780,587.891
250320201501.226,237.740,600.586
250320201501.226,237.740,594.727
250320201502.214,238.740,599.609
250320201502.214,238.740,595.703
250320201503.188,239.700,615.234
250320201504.305,240.820,612.305
250320201504.305,240.820,589.844
250320201505.268,241.800,600.586
250320201505.268,241.800,605.469
250320201506.253,242.780,600.586
250320201507.235,243.760,599.609
250320201507.235,243.760,610.352
250320201508.234,244.760,597.656
250320201508.234,244.760,603.516
250320201509.209,245.720,594.727
250320201510.198,246.720,596.680
250320201510.198,246.720,597.656
250320201511.164,247.680,601.563
250320201511.164,247.680,601.563
250320201512.279,248.800,598.633
250320201513.248,249.760,603.516
250320201513.248,249.760,583.984
250320201514.222,250.740,583.008
250320201514.222,250.740,593.750
250320201515.557,251.300,594.727
250320201516.297,252.340,612.305
250320201516.297,252.340,598.633
250320201517.266,253.300,595.703
250320201517.266,253.300,613.281
250320201518.385,254.420,611.328
250320201519.190,255.240,605.469
250320201519.190,255.240,634.766
